State,Division,Region,Branch,Route Code,Village Name,pincode,Center Name,Group Name,Name,Loan nature,Employee Name for clinet,Existing Loan amount ,Loan Date,AGE,ID_DETAILS,ADHAAR NUMBER,Marital_Status,INCOME SOURCE,LoanStatus
Karnataka,KA 02,NELAMANGALA,Nelamangala,KNELNELC,Sompura N,504309,Huchaveerayanapalya,Saraswathi,Vidyaben Ramanbhai Sarma,1,Bashkar,77204,27-01-2014,41,332NA/54,7.93E+15,Widowed,BUSINESS,YES
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLB,Majara  Dinnur,504201,Majarechaladinnur,Lakshmi,Ghanchi  Afsanabanu,1,Nukula Tejassriram,55029,09-03-2014,28,331EU-46,7.56E+15,Married,OTHER,YES
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLB,Majara  Dinnur,504201,Majarechaladinnur,Lakshmi,Makavana Hansaben,1,Nukula Tejassriram,224832,03-03-2016,36,589OO/55,6.70E+15,Married,DAIRY,NA
Karnataka,KA 02,NELAMANGALA,Nelamangala,KNELNELC,Honnenahalli,504231,Honnenahalli05,Parvathamma,Bhoi Kasheeben,1,Bashkar,166335,29-12-2013,40,153OL-40,4.08E+15,Married,BUSINESS,YES
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLB,Majara  Dinnur,504201,Majarechaladinnur,Lakshmi 3,Makvana Savitaben,1,Nukula Tejassriram,93530,11-10-2013,40,120JD/53,2.68E+15,Married,OTHER,YES
Karnataka,KA 02,NELAMANGALA,Nelamangala,KNELNELC,Devaganahalli,504201,Devaganahalli,Chandra2,Leelaben  Ratansingh Vaghela,1,Bashkar,68685,31-07-2013,38,514UA-33,5.21E+15,Widowed,BUSINESS,YES
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLB,Gowdahalli,504299,Gowdahalli 1,Yallamma,Sushilaben Makavana,1,Nukula Tejassriram,180400,25-08-2015,27,682NX/72,2.60E+15,Married,DAIRY,NO
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLB,Gowdahalli,504299,Gowdahalli 1,Yallamma2,Bhoi  Madhuben,1,Nukula Tejassriram,66187,18-06-2014,46,454VM-60,6.99E+15,Widowed,BUSINESS,NO
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLB,Chowdadenahalli,504299,Gowdahalli,Saraswathi,Bhoi Sarojben,1,Nukula Tejassriram,97969,09-07-2014,31,165GJ/39,3.72E+15,Married,BUSINESS,YES
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLB,Gowdahalli,504204,Gowdahalli New,Srilakshmi,Waghela  Kaelasben,1,Nukula Tejassriram,36326,31-07-2014,35,365PF-46,2.69E+15,\n,BUSINESS,YES
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLB,Gowdahalli,504204,Gowdahalli New,Om Shakthi,Vimalaben Makavana,1,Nukula Tejassriram,124413,17-06-2013,44,329YV/11,9.07E+15,Married,AGRICULTURE,YES
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLB,Gowdahalli,504204,Gowdahalli New,Peddamma,Bhoi  Hansaben,1,Nukula Tejassriram,56772,26-12-2014,28,357MR-20,4.64E+15,Married,AGRICULTURE,YES
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLB,Gowdahalli,504204,Gowdahalli New,Valmiki,Salat Sajjanben,1,Nukula Tejassriram,15079,15-01-2014,18,504YQ/13,6.76E+15,Widowed,OTHER,YES
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLC,Thippenahalli,504294,Thippenahalli New,Srilakshmi,Patel  Kokilaben Dineshbhai,1,Nukula Tejassriram,80522,07-06-2013,41,631BV-11,7.88E+15,Married,BUSINESS,YES
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLC,Matapura,504201,Matapura,Shivaranjani,Salat Kunvarben,1,Nukula Tejassriram,218033,13-12-2015,46,339KA/72,8.54E+15,Married,AGRICULTURE,YES
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLC,Thippenahalli,504293,Thippenahalli,Sree Ram,Mandola  Jayaben,1,Nukula Tejassriram,42471,02-09-2014,27,687SQ-38,9.69E+15,\n,OTHER,NO
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLC,Thippenahalli,504293,Thippenahalli,Bhavaneswari,Bhoi  Alpaben,1,Nukula Tejassriram,141666,10-01-2016,37,648BO/58,8.14E+15,Married,BUSINESS,YES
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLC,Thippenahalli,504293,Thippenahalli,Mahalakshmi,Salat Ramilaben,1,Nukula Tejassriram,109123,17-06-2014,31,684CM-19,6.23E+15,Married,AGRICULTURE,YES
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLC,Thippenahalli,504293,Thippenahalli,Kusuma,Rabari  Amarben Mafatbhai,1,Nukula Tejassriram,55408,27-02-2014,25,657YU/72,7.77E+15,Married,FLOWER SELLER,NO
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLC,Thippenahalli,504293,Thippenahalli,Bharathi,Salar Shakariben,1,Nukula Tejassriram,47626,08-12-2014,41,105BK-53,9.24E+15,Widowed,DAIRY,YES
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLC,Thippenahalli,504293,Thippenahalli,Lakshmi,Satar Nanduben,1,Nukula Tejassriram,162599,14-10-2013,26,316JM/38,5.41E+15,Married,FLOWER SELLER,YES
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLC,Thippenahalli,504293,Thippenahalli,Shabari,Salat Manjulaben,1,Nukula Tejassriram,35642,10-03-2013,42,529AM-53,5.51E+15,Married,AGRICULTURE,NA
Karnataka,KA 01,KOLAR,Kolaramma,KKOLKOLC,Thippenahalli,504293,Thippenahalli,Anjaneya,Chauhan Dinuben,1,Nukula Tejassriram,68083,16-03-2014,44,515MT/23,3.96E+15,Widowed,BUSINESS,NO
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504299,Vadakku nagar,Shanthi 23,Parmar Champaben,1,Sekar,45137,02-07-2013,29,278TF-14,7.01E+15,Married,BUSINESS,NO
Karnataka,KA 02,GOWRIBIDANUR,Gowribidnur,KGAWGAWE,Nagenahalli,504296,Nagenahalli,Manjula,Sartajben NA,1,Valluru Vinod Kumar,60446,20-02-2014,45,171DT/19,8.08E+15,Married,FLOWER SELLER,YES
Karnataka,KA 02,GOWRIBIDANUR,Gowribidnur,KGAWGAWE,Nagenahalli,504296,Nagenahalli,Shanthamma,Rathod Madhuben,1,Valluru Vinod Kumar,198824,02-08-2015,35,155PC-31,4.07E+15,Widowed,BUSINESS,YES
Karnataka,KA 02,GOWRIBIDANUR,g,KGAWGAWE,Arkunda,504304,Arkunda,Arathi,Diwan  Roshaniben,1,Valluru Vinod Kumar,198112,26-09-2015,31,195UZ/91,5.48E+15,Married,DAIRY,YES
Karnataka,KA 02,GOWRIBIDANUR,Gowribidnur,KGAWGAWE,Arkunda,504304,Arkunda,Vidya,Thori  Jeniben,1,Valluru Vinod Kumar,194693,02-08-2015,20,183RH-17,2.36E+15,Married,OTHER,NA
Karnataka,KA 02,GOWRIBIDANUR,Gowribidnur,KGAWGAWE,Nagenahalli,504296,Nagenahalli,Radika,Manjulaben Bhumeshbhai,1,Valluru Vinod Kumar,128427,02-07-2013,32,533TG/12,7.12E+15,Married,BUSINESS,NA
Karnataka,KA 02,GOWRIBIDANUR,Gowribidnur,KGAWGAWE,Arkunda,504304,Arkunda,Nagamani,Jalali  Shahjanabanu,1,Valluru Vinod Kumar,14934,14-03-2014,29,205LE-74,9.48E+15,Married,BUSINESS,YES
Karnataka,KA 02,GOWRIBIDANUR,Gowribidnur,KGAWGAWE,Arkunda,504304,Arkunda,Githa,Solanki  Laxmiben,1,Valluru Vinod Kumar,70500,10-01-2015,28,141QK/10,2.47E+15,Married,DAIRY,YES
Karnataka,KA 01,MULBAGAL,Mulbagal,KMULMULD,Ganjikunta,504251,Ganjikunta,Rathnamma,Firojben NA,1,Nukula Tejassriram,147251,23-10-2013,23,132AF-58,8.24E+15,Married,FLOWER SELLER,NO
Karnataka,KA 01,MULBAGAL,Mulbagal,KMULMULD,V Gangapura,504251,V Gangapura n,Rajamma,Shekh  Nasimben,1,Nukula Tejassriram,199579,20-04-2013,29,149OH/66,7.37E+15,Married,BUSINESS,YES
Karnataka,KA 01,VIJAYAPURAM,Vijaypura-2,KVIJVIBB,sadha halli,504103,sadhahalli,disha,Thori  Kamuben,1,Prasanth,174038,17-01-2014,34,217ZI-62,3.55E+15,Widowed,AGRICULTURE,YES
Karnataka,KA 01,MULBAGAL,Mulbagal,KMULMULD,V Gangapura,504251,V Gangapura n,Padhamma,Vhora  Abedaben,1,Nukula Tejassriram,34016,16-08-2015,44,570JC/65,2.90E+15,Widowed,BUSINESS,YES
Karnataka,KA 02,VIJAYAPURAM,Vijaypura-2,KVIJVIBB,anneswara,504103,anneswara,sri,Bhoi Hansaben,1,Prasanth,140739,04-07-2015,29,175UJ-22,2.40E+15,Married,FLOWER SELLER,NO
Karnataka,KA 01,MULBAGAL,Mulbagal,KMULMULD,V Gangapura,504251,V Gangapura n,Venkatamma,Samuben  Kanubhai Rabari,1,Nukula Tejassriram,57673,23-08-2015,22,135EH/21,1.68E+15,Married,FLOWER SELLER,YES
Karnataka,KA 01,VIJAYAPURAM,Vijaypura-2,KVIJVIBB,anneswara,504204,anneswara,kedarinatha,Rabari  Samuben,1,Prasanth,50485,28-01-2016,46,378QY-54,1.57E+15,Married,BUSINESS,YES
Karnataka,KA 02,VIJAYAPURAM,Vijaypura-2,KVIJVIBB,anneswara,504204,anneswara,badrinath,Desai  Bhavanaben,1,Prasanth,83873,08-02-2014,42,164NO/25,2.53E+15,Married,AGRICULTURE,NA
Karnataka,KA 01,MULBAGAL,Mulbagal,KMULMULD,V Gangapura,504251,V Gangapura,Bharatamma,Rabari  shantaben,1,Nukula Tejassriram,119984,23-05-2014,30,588IW-52,4.79E+15,Married,AGRICULTURE,NO
Karnataka,KA 02,VIJAYAPURAM,Vijaypura-2,KVIJVIBB,anneswara,504204,anneswara,teju,Rabari  Madhuben,1,Prasanth,70138,10-01-2015,41,317BL/65,9.55E+15,Married,AGRICULTURE,YES
Karnataka,KA 01,VIJAYAPURAM,Vijaypura-2,KVIJVIBB,anneswara,504204,anneswara,gowramma,Rabari  Minaben,1,Prasanth,108299,03-02-2014,23,604XQ-24,2.36E+15,Married,OTHER,YES
Karnataka,KA 01,MULBAGAL,Mulbagal,KMULMULD,V Gangapura,504103,V Gangapura,Jayamma,Rabari  Sajanben,1,Nukula Tejassriram,201906,26-12-2014,42,654WS/21,6.40E+15,Married,BUSINESS,NO
Karnataka,KA 02,VIJAYAPURAM,Vijaypura-2,KVIJVIBB,uganvadi,504001,uganvadi,jeevana,Fakir Bibiben,1,Prasanth,62245,22-07-2015,42,245QB-76,6.34E+15,Widowed,BUSINESS,YES
Karnataka,KA 02,NELAMANGALA,Nelamangala,KNELNELE,Kachohalli,504304,Kachohalli,Sandya,Shekh Hajarabibi,1,Bashkar,11147,13-05-2015,35,407GQ/13,2.81E+15,Widowed,AGRICULTURE,NA
Karnataka,KA 01,MULBAGAL,Mulbagal,KMULMULD,Ganjigunta,504273,Ganjikunta 1,Kolaramma,Vahora Rahimaben,1,Nukula Tejassriram,185477,18-12-2015,40,615IF-41,5.90E+15,Married,BUSINESS,NO
Karnataka,KA 02,NELAMANGALA,Nelamangala,KNELNELE,Angadi beedi,504101,Muddayyanapalya,Aruna,Vora Karishma,1,Bashkar,65376,16-01-2013,36,393AI/27,8.41E+15,Married,LAND,NO
Karnataka,KA 02,NELAMANGALA,Nelamangala,KNELNELE,Malathahalli,504311,Malathahalli,Prameela,Panchal  Amitaben,1,Bashkar,183444,14-03-2013,29,172JR-96,4.07E+15,Married,FLOWER SELLER,NO
Karnataka,KA 01,MULBAGAL,Mulbagal,KMULMULD,Ganjigunta,504306,Ganjigunta,Vimala,Vora Mahetabbanu,1,Nukula Tejassriram,142214,17-08-2014,35,453QR/71,4.65E+15,Married,OTHER,YES
Karnataka,KA 01,MULBAGAL,Mulbagal,KMULMULD,Ganjigunta,504306,Ganjigunta,Chodeshwari,Vora Afsanaben,1,Nukula Tejassriram,159155,09-08-2014,19,535VC-69,7.44E+15,Married,OTHER,NO
Karnataka,KA 02,NELAMANGALA,Nelamangala,KNELNELE,Kamakshipalya,504273,Kamakshipalya,Varsha,Patel Meenaben,1,Bashkar,186216,25-02-2016,21,435UU/79,5.33E+15,Married,OTHER,YES
Karnataka,KA 02,NELAMANGALA,Nelamangala,KNELNELE,Kamakshipalya,504273,Kamakshipalya,Harsha,Thakor  Manjulaben,1,Bashkar,222618,16-09-2014,46,319KG-19,2.98E+15,Married,OTHER,NO
Karnataka,KA 01,MULBAGAL,Mulbagal,KMULMULD,Ganjigunta,504306,Ganjigunta,Salla Puramma,Khlifa Fridaben,1,Nukula Tejassriram,189050,06-07-2014,28,344LA/79,9.81E+15,Married,BUSINESS,NA
Karnataka,KA 01,MULBAGAL,Mulbagal,KMULMULD,Ganjigunta,504306,Ganjikunta,Krishnaveni,Panchal  Hinaben,1,Nukula Tejassriram,39337,16-05-2013,29,642OQ-13,8.19E+15,Married,OTHER,YES
Karnataka,KA 01,MULBAGAL,Mulbagal,KMULMULD,Ganjigunta,504306,Ganjigunta,Chodeshwari2,Panchal  Sumitraben,1,Nukula Tejassriram,166679,03-12-2013,40,356JV/63,3.80E+15,Married,AGRICULTURE,NO
Karnataka,KA 01,MULBAGAL,Mulbagal,KMULMULD,Ganjigunta,504306,Ganjigunta,Gangamma,Solanki  Maniben,1,Nukula Tejassriram,85526,24-09-2013,18,468GY-32,7.28E+15,Widowed,AGRICULTURE,YES
Karnataka,KA 02,CHIKBALAPUR,Chikbalapur,KCHICHIC,Minakanaguriki,504251,Minakanaguriki,Maheswari,Vhora Zrina,1,Bashkar,167618,06-03-2015,37,262RU/89,6.62E+15,Widowed,AGRICULTURE,YES
Karnataka,KA 02,CHIKBALAPUR,Chikbalapur,KCHICHIC,Bhumana halli,504251,Bhumana halli,Maheswari,Vahora Sahiraben,1,Bashkar,171892,27-04-2015,27,257ZH-47,1.68E+15,Married,BUSINESS,YES
Karnataka,KA 02,CHIKBALAPUR,Chikbalapur,KCHICHIC,Guttena halli,504323,Guttena halli1,Sharada,Thakor  Leelaben,1,Bashkar,101048,03-07-2015,29,383SR/11,4.03E+15,Married,LAND,YES
Karnataka,KA 02,CHIKBALAPUR,Chikbalapur,KCHICHIC,Guttena halli,504323,Guttena halli1,Pushpa1,Vhora  Yasmin,1,Bashkar,185721,19-05-2015,45,623OE-37,5.51E+15,Widowed,AGRICULTURE,YES
Karnataka,KA 02,CHIKBALAPUR,Chikbalapur,KCHICHIC,Guttena halli,504272,Guttena halli06,Pooja,Thakor  Shakriben,1,Bashkar,12133,21-10-2014,46,512OJ/42,1.73E+15,Married,BUSINESS,NO
Karnataka,KA 02,CHIKBALAPUR,Chikbalapur,KCHICHIC,Guttena halli,504272,Guttena halli06,Jyothi,H  Bayaben,1,Bashkar,77981,09-04-2014,37,190UM-33,8.03E+15,Widowed,OTHER,YES
Karnataka,KA 02,CHIKBALAPUR,Chikbalapur,KCHICHIC,Guttena halli,504323,Guttena halli 1,Prameela1,Solanki  Anitaben,1,Bashkar,83317,17-12-2015,36,290LX/17,4.38E+15,Married,AGRICULTURE,YES
Karnataka,KA 02,CHIKBALAPUR,Chikbalapur,KCHICHIC,Guttena halli,504323,Guttena halli 1,Rama,Vhora  Shahinben,1,Bashkar,114746,16-08-2014,39,371RU-64,5.10E+15,Married,LAND,NA
Karnataka,KA 02,CHIKBALAPUR,Chikbalapur,KCHICHIC,Guttena halli,504309,Guttena halli05,Jayamma,Bhoi Ambaben,1,Bashkar,69967,21-02-2015,33,203LK/55,7.38E+15,Married,OTHER,YES
Karnataka,KA 02,DODDABALLAPUR,doddaballapur,KDODDODA,muthur,504103,Muthur,Venkateswara,Vaghela Ramilaben,1,Valluru Vinod Kumar,38581,16-06-2013,47,241WO-58,3.37E+15,Married,FLOWER SELLER,YES
Karnataka,KA 02,DODDABALLAPUR,doddaballapur,KDODDODA,muthur,504103,Muthur,Muthyalamm,Nayak Sharadaben,1,Valluru Vinod Kumar,113796,20-02-2013,42,203YZ/97,1.88E+15,Married,FLOWER SELLER,NO
Karnataka,KA 02,DODDABALLAPUR,doddaballapur,KDODDODA,muthur,504103,Muthur,Khaza,Malek  Aminaben,1,Valluru Vinod Kumar,77220,23-08-2014,24,345ZQ-40,7.28E+15,Married,AGRICULTURE,YES
Karnataka,KA 02,DODDABALLAPUR,doddaballapur,KDODDODA,muthur,504103,Muthur,Yasina,Bhoi Madhuben,1,Valluru Vinod Kumar,176808,01-12-2013,31,474JX/29,2.59E+15,Widowed,BUSINESS,NA
Karnataka,KA 02,DODDABALLAPUR,doddaballapur,KDODDODA,muthur,504103,Muthur,Mahadevi,Bhoi Llitaben,1,Valluru Vinod Kumar,144878,16-09-2015,41,475DT-51,7.71E+15,Married,BUSINESS,NO
Karnataka,KA 02,DODDABALLAPUR,NA,KDODDODA,muthur,504103,Muthur,Muskan,Bhoi Aanandiben,1,Valluru Vinod Kumar,178757,13-01-2015,31,594SD/20,3.65E+15,Widowed,FLOWER SELLER,YES
Karnataka,KA 02,DODDABALLAPUR,doddaballapur,KDODDODA,muthur,504103,Muthur,Bismilla,Manjuben NA,1,Valluru Vinod Kumar,39623,25-03-2013,27,522VY-44,7.88E+15,Married,OTHER,NA
Karnataka,KA 02,DODDABALLAPUR,doddaballapur,KDODDODA,muthur,504103,Muthur,Sowmya,Pagi  Chandaben,1,Valluru Vinod Kumar,120021,01-02-2013,44,379RT/14,1.85E+15,Married,OTHER,NO
Karnataka,KA 02,DODDABALLAPUR,doddaballapur,KDODDODA,muthur,504103,Muthur,Rajeswari,Pagi  Ratanben,1,Valluru Vinod Kumar,115159,26-11-2013,43,178SP-22,1.55E+15,Married,BUSINESS,YES
Karnataka,KA 02,CHIKBALAPUR,Chikbalapur,KCHICHIC,Golla Halli,504299,Golla Halli2,Roopa,Nandaben NA,1,Bashkar,184044,15-02-2014,41,559DO/43,8.81E+15,Married,AGRICULTURE,NA
Karnataka,KA 02,CHIKBALAPUR,Chikbalapur,KCHICHIC,Golla Halli,504299,Golla Halli2,Ramu,Pagi  Hansaben,1,Bashkar,205537,28-03-2013,44,592CJ-72,3.07E+15,Married,FLOWER SELLER,YES
Karnataka,KA 02,CHIKBALAPUR,Chikbalapur,KCHICHIC,Golla Halli,504304,MGolla Halli,Pavan,Pagi  Labhuben,1,Bashkar,46065,27-08-2014,20,469CC/77,7.73E+15,Married,AGRICULTURE,YES
Tamil Nadu,TN 01,THIRUVANNAMALAI,Chengam,TTHICHED,Vedanthavadi,504310,Mettu colony,Vennila,Pagi  Sangitaben,1,Jagadesan,90812,16-08-2014,44,677KJ-95,1.88E+15,Married,BUSINESS,NO
Tamil Nadu,TN 01,THIRUVANNAMALAI,Chengam,TTHICHED,Vedanthavadi,504310,Mettu colony,Vennila 2,Shrimali  Gauriben,1,Jagadesan,168171,14-04-2014,39,513PD/36,1.28E+15,Married,AGRICULTURE,NO
Tamil Nadu,TN 01,THIRUVANNAMALAI,Chengam,TTHICHED,Tvmalai sm,504306,Kidathangal,Kuthuvilakku,Parmar  Meenaben,1,Jagadesan,127383,17-05-2013,36,550SO-83,9.24E+15,Married,OTHER,NO
Tamil Nadu,TN 01,THIRUVANNAMALAI,Chengam,TTHICHED,Tvmalai sm,504306,Kidathangal,Disha,Parmar  Kokilaben,1,Jagadesan,220887,09-10-2015,37,588UI/89,4.93E+15,Married,DAIRY,YES
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504103,Acharapakkam,Priyanga,Goltar  Samuben,1,Sekar,193247,24-10-2014,30,172BY-88,1.87E+15,Widowed,OTHER,YES
Tamil Nadu,TN 01,THIRUVANNAMALAI,Chengam,TTHICHED,Veppattavadi post,504313,Pilliyar kovil st,Nokia,Rathor  Premilaben,1,Jagadesan,95935,31-03-2015,45,620PL/67,1.52E+15,Married,FLOWER SELLER,YES
Tamil Nadu,TN 01,THIRUVANNAMALAI,Chengam,TTHICHED,Veppattavadi post,504313,Pilliyar kovil st,Manila,Malek  Nashimbanu,1,Jagadesan,176275,10-03-2015,46,289JF-71,8.62E+15,Married,AGRICULTURE,NA
Tamil Nadu,TN 01,THIRUVANNAMALAI,Chengam,TTHICHED,Veppattavadi post,504313,Pilliyar kovil st,Sony,Malek  Badarunisa,1,Jagadesan,122974,08-06-2015,35,455HD/38,2.09E+15,Widowed,OTHER,NA
Tamil Nadu,TN 02,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504299,Acharapakkam,Priyanga-1,Sipai  Rajiyabanu,1,Sekar,219345,08-01-2015,37,405AR-80,2.26E+15,Married,OTHER,YES
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504299,Acharapakkam,Rajesh,Nilofarbanu  Javedkhan,1,Sekar,115080,14-02-2014,30,351BK/95,2.60E+15,Married,DAIRY,YES
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504299,Acharapakkam,Vijayalakshmi,Pathan  sultanabibi,1,Sekar,31511,15-01-2013,29,680CK-48,1.92E+15,Married,FLOWER SELLER,NO
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504299,Acharapakkam,Sharan,Meeraza  Farjana,1,Sekar,14622,14-01-2015,25,288PF/59,4.76E+15,Married,BUSINESS,NO
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504299,Acharapakkam,Dhanusri,Malek  Jarinabanu,1,Sekar,199990,26-01-2014,43,251KI-21,1.34E+15,Married,BUSINESS,YES
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504001,Vadakku nagar,Pooja-1,Malek Njiranbibi,1,Sekar,68692,02-11-2015,30,358YG/62,7.97E+15,Married,OTHER,NO
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504001,Vadakku nagar,Pooja,Vora  Nasimben,1,Sekar,10945,07-08-2013,37,313XN-95,3.84E+15,Married,DAIRY,NA
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504001,Vadakku nagar,Brindha,Rekhaben NA,1,Sekar,67361,11-09-2015,33,129XS/78,8.41E+15,Married,BUSINESS,YES
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504304,Acharapakkam,Tamilkodi,Malek  Husenabibi,1,Sekar,79965,27-07-2013,39,243HN-65,4.52E+15,Married,FLOWER SELLER,YES
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504304,Acharapakkam,Sasi,Datani Kailasben,1,Sekar,98197,01-01-2015,19,608OK/95,2.06E+15,Married,OTHER,YES
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504304,Acharapakkam,Asani,Sipai  Saidabibi,1,Sekar,168732,25-08-2014,36,165YL-76,3.32E+15,Married,AGRICULTURE,YES
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504304,Acharapakkam,Shylaja,Mumtajbanu NA,1,Sekar,130681,04-09-2014,37,347OU/10,2.45E+15,Married,AGRICULTURE,YES
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504293,Kalai nagar,Madha-1,Vaghari Shardaben,1,Sekar,176654,20-12-2014,40,347TP-26,2.90E+15,Married,FLOWER SELLER,NO
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504308,Pallipettai,Mugunthan-1,Shaikh  Parvinbanu,1,Sekar,161898,02-09-2015,28,226RI/51,6.73E+15,Married,OTHER,NO
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504308,Pallipettai,Mugunthan-1,Panara  Rehenabanu,1,Sekar,80854,12-01-2016,39,118IJ-37,8.64E+15,Married,BUSINESS,NO
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504308,Pallipettai,Mugunthan-2,Panara vahidabanu,1,Sekar,110176,29-09-2014,19,508YR/20,6.20E+15,Married,FLOWER SELLER,NO
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504311,Neru nagar,Kamala,Panara  mumtaj,1,Sekar,78362,02-07-2015,48,465RJ-95,1.91E+15,Married,BUSINESS,YES
Tamil Nadu,TN 01,MADURANTHAKAM,Acharapakkam,TMGMACHA,Acharapakkam,504313,Jinna nagar,Akilesh,Panara  jubedabanu,1,Sekar,120243,26-10-2015,21,162IE/28,2.07E+15,Married,BUSINESS,NA
